Geo Point;Geo Shape;dep;adresse;nomcom;insee;nom_carto;typo_niv3;objectid
48.8346266655, 2.37664094376;"{""coordinates"": [2.376640943760898, 48.83462666553587, -100000.0], ""type"": ""Point""}";75;QUAI FRANCOIS-MAURIAC;Paris 13EME;75113;Bibliothèque nationale de france, site François-Mitterrand / Tolbiac;Site et monument;34
49.0511050497, 2.09971155993;"{""coordinates"": [2.099711559926497, 49.05110504968462, 0.0], ""type"": ""Point""}";95;4 RUE LEMERCIER;PONTOISE;95500;Musee Tavet Delacourt;Musée et écomusée;42
48.8123213142, 2.42363859034;"{""coordinates"": [2.423638590336229, 48.812321314213506, 0.0], ""type"": ""Point""}";94;7 AVENUE DU GENERAL DE GAULLE;MAISONS-ALFORT;94046;Musee Fragonard de l'ecole veterinaire;Musée et écomusée;50
48.8457325223, 2.22805887299;"{""coordinates"": [2.228058872991434, 48.845732522266935, 0.0], ""type"": ""Point""}";92;27 RUE DES ABONDANCES;BOULOGNE-BILLANCOURT;92012;Musee Renault;Musée et écomusée;54
48.8559412619, 2.34604570406;"{""coordinates"": [2.346045704055931, 48.85594126186862, 0.0], ""type"": ""Point""}";75;2 BOULEVARD DU PALAIS - PALAIS DE LA CITÉ;Paris;75101;Conciergerie;Site et monument;58
48.860932041, 2.3554873412;"{""coordinates"": [2.355487341202323, 48.86093204098579, 0.0], ""type"": ""Point""}";75;71 RUE DU TEMPLE - HÔTEL DE Saint-AIGNAN;Paris;75103;Musée d'art et d'histoire du judaïsme;Musée et écomusée;79
48.8545133074, 2.36371987588;"{""coordinates"": [2.363719875875816, 48.85451330740851, 0.0], ""type"": ""Point""}";75;62 RUE Saint-ANTOINE - HÔTEL DE SULLY;Paris;75104;Jeu de paume - site Sully;Site et monument;90
48.8406938651, 2.34147920886;"{""coordinates"": [2.341479208862518, 48.84069386509463, 0.0], ""type"": ""Point""}";75;1 PLACE ALPHONSE LAVERAN - COUR D'ENTRÉE DE L'EGLISE;Paris;75105;Ancienne abbaye royale du Val de Grace;Site et monument;105
48.8562943671, 2.33860086215;"{""coordinates"": [2.338600862150559, 48.85629436705097, 0.0], ""type"": ""Point""}";75;11 QUAI DE CONTI - HÔTEL DE LA MONNAIE;Paris;75106;Musée de la monnaie de Paris;Musée et écomusée;131
48.8554372991, 2.32768853153;"{""coordinates"": [2.327688531525939, 48.85543729910438, 0.0], ""type"": ""Point""}";75;222 BOULEVARD Saint-GERMAIN;Paris;75106;Musée des lettres et manuscrits;Musée et écomusée;133
48.8581798351, 2.33743100235;"{""coordinates"": [2.337431002348331, 48.85817983512116, 0.0], ""type"": ""Point""}";75;ACCÈS : QUAI MALAQUAIS, QUAI DU LOUVRE, QUAI DES GRANDS AUGUSTINS;Paris;75106;Pont des Arts;Site et monument;137
48.856115272, 2.31152870638;"{""coordinates"": [2.311528706375518, 48.85611527201822, 0.0], ""type"": ""Point""}";75;129 RUE DE GRENELLE - HÔTEL NATIONAL DES INVALIDES;Paris;75107;Musée de l'armée;Musée et écomusée;149
48.8778537288, 2.30168327013;"{""coordinates"": [2.301683270126827, 48.87785372879623, 0.0], ""type"": ""Point""}";75;12 RUE DARU;Paris;75108;Cathédrale Saint Alexandre Newski;Site et monument;167
48.8754833642, 2.31051194519;"{""coordinates"": [2.310511945194061, 48.875483364223506, 0.0], ""type"": ""Point""}";75;158 BOULEVARD HAUSSMANN;Paris;75108;Musée Jacquemart-André;Musée et écomusée;174
48.8749091887, 2.34314988797;"{""coordinates"": [2.343149887970451, 48.874909188663146, 0.0], ""type"": ""Point""}";75;16 RUE CADET;Paris;75109;Musée de la Franc-Maçonnerie;Musée et écomusée;184
48.8814140292, 2.36772671095;"{""coordinates"": [2.367726710947784, 48.88141402921948, 0.0], ""type"": ""Point""}";75;214 RUE LAFAYETTE;Paris;75110;Eglise Saint-Joseph-Artisan;Site et monument;188
48.8451546538, 2.3806690011;"{""coordinates"": [2.380669001096334, 48.845154653806254, 0.0], ""type"": ""Point""}";75;111 AVENUE DAUMESNIL - VIADUC DES ARTS;Paris;75112;Atelier du cuivre et de l'argent;Musée et écomusée;190
48.8393428218, 2.32988094476;"{""coordinates"": [2.329880944761413, 48.839342821849684, 0.0], ""type"": ""Point""}";75;3 BOULEVARD EDGARD QUINET - CIMETIÈRE DU MONTPARNASSE;Paris;75114;Moulin du Montparnasse ou moulin de la charité;Site et monument;207
48.8193292015, 2.34327912521;"{""coordinates"": [2.343279125206603, 48.81932920154799, 0.0], ""type"": ""Point""}";75;7 BOULEVARD JOURDAN - RÉSIDENCE POUR ÉTUDIANTS;Paris;75114;Pavillon Suisse;Site et monument;208
48.8377894666, 2.29298864991;"{""coordinates"": [2.292988649913089, 48.83778946659348, 0.0], ""type"": ""Point""}";75;15 RUE EUGÈNE-MILLION;Paris;75115;Hôpital Cognacq Jay;Site et monument;210
48.8717336868, 2.28125936593;"{""coordinates"": [2.281259365930477, 48.87173368679597, 0.0], ""type"": ""Point""}";75;59 AVENUE FOCH;Paris;75116;Musée d'Ennery;Musée et écomusée;237
48.8865416809, 2.33968053749;"{""coordinates"": [2.33968053748812, 48.886541680851245, 0.0], ""type"": ""Point""}";75;11 RUE POULBOT;Paris;75118;Musée espace Dali;Musée et écomusée;252
48.8605336154, 2.40439341542;"{""coordinates"": [2.404393415417268, 48.860533615425595, 0.0], ""type"": ""Point""}";75;119 RUE DE BAGNOLET;Paris;75120;Cimetière de Charonne;Site et monument;257
48.9275488364, 3.13098018908;"{""coordinates"": [3.130980189083762, 48.927548836403716, 0.0], ""type"": ""Point""}";77;RUE DE LA TOUR - OFFICE DE TOURISME DE JOUARRE;JOUARRE;77238;Cryptes mérovingiennes;Site et monument;273
48.260833202, 2.71349269632;"{""coordinates"": [2.713492696322807, 48.260833201954455, 0.0], ""type"": ""Point""}";77;48 AVENUE ETIENNE DAILLY;NEMOURS;77333;Musée départemental de préhistoire d'iIe-de-france;Musée et écomusée;277
48.5678355806, 3.29753645853;"{""coordinates"": [3.297536458526618, 48.56783558064078, 0.0], ""type"": ""Point""}";77;ROUTE DE NANTEUIL;PROVINS;77379;Couvent des Cordelières;Site et monument;280
48.7100261659, 2.04165733208;"{""coordinates"": [2.041657332078381, 48.71002616588955, 0.0], ""type"": ""Point""}";78;CHEMIN JEAN RACINE;CHEVREUSE;78160;Château de la Madeleine;Site et monument;291
48.9471591107, 2.15386695754;"{""coordinates"": [2.153866957537524, 48.94715911066657, 0.0], ""type"": ""Point""}";78;2 AVENUE CARNOT;MAISONS-LAFFITTE;78358;Château de Maisons;Site et monument;296
48.9905786304, 1.71956442223;"{""coordinates"": [1.719564422226556, 48.9905786303849, 0.0], ""type"": ""Point""}";78;PLACE JEAN XXIII;MANTES-LA-JOLIE;78361;Collégiale ND;Site et monument;297
48.8981098272, 2.09503703356;"{""coordinates"": [2.095037033559793, 48.89810982724957, 0.0], ""type"": ""Point""}";78;PLACE CHARLES DE GAULLE;SAINT-GERMAIN-EN-LAYE;78551;Château de Saint Germain en Laye;Site et monument;303
48.4025330102, 2.46458480017;"{""coordinates"": [2.464584800168903, 48.40253301020084, 0.0], ""type"": ""Point""}";91;15 RUE DU LAU;MILLY-LA-FORET;91405;Maison Cocteau;Musée et écomusée;327
48.9456852952, 2.43327270732;"{""coordinates"": [2.433272707321945, 48.94568529518359, 0.0], ""type"": ""Point""}";93;AÉROPORT DE Paris LE BOURGET - BP 173;LE BOURGET;93013;Musée de l’air et de l’espace;Musée et écomusée;346
48.9354731972, 2.35869879522;"{""coordinates"": [2.358698795222391, 48.935473197242885, 0.0], ""type"": ""Point""}";93;1 RUE DE LA LÉGION D'HONNEUR;SAINT-DENIS;93066;Basilique cathédrale de Saint-Denis;Site et monument;349
49.1471163701, 2.3822194412;"{""coordinates"": [2.382219441198389, 49.14711637014967, 0.0], ""type"": ""Point""}";95;FONDATION ROYAUMONT;ASNIERES-SUR-OISE;95026;Abbaye royale de Royaumont;Site et monument;360
48.4815558325, 2.71881822014;"{""coordinates"": [2.718818220140509, 48.481555832479266, 0.0], ""type"": ""Point""}";77;RUE DE TOURNEZY;BOIS-LE-ROI;77037;Ile de loisirs de Bois le Roi;Espace de loisirs, espace récréatif;392
48.4021414676, 2.70001906344;"{""coordinates"": [2.700019063438058, 48.40214146759624, 0.0], ""type"": ""Point""}";77;PLACE DU GÉNÉRAL DE GAULLE;FONTAINEBLEAU;77186;Musée national du Château de Fontainebleau;Musée et écomusée;394
48.7083134913, 2.95622373463;"{""coordinates"": [2.956223734625726, 48.70831349125983, 0.0], ""type"": ""Point""}";77;DOMAINE DE LA FORTELLE;LUMIGNY-NESLES-ORMEAUX;77264;Parc des félins;Espace de loisirs, espace récréatif;403
48.7743542575, 2.3000709752;"{""coordinates"": [2.300070975202971, 48.77435425747718, 0.0], ""type"": ""Point""}";92;DOMAINE DE SCEAUX;SCEAUX;92071;Musée du domaine departemental de sceaux;Musée et écomusée;413
48.4957768009, 2.34343888892;"{""coordinates"": [2.343438888923453, 48.4957768009009, 0.0], ""type"": ""Point""}";91;AÉRODROME DE LA FERTÉ ALAIS;CERNY;91129;Musée volant Jean Salis;Musée et écomusée;421
48.860310548, 2.3246827324;"{""coordinates"": [2.32468273240465, 48.86031054796957, 0.0], ""type"": ""Point""}";75;2 RUE DE LA LÉGION D'HONNEUR;Paris;75107;Musée national de la légion d'honneur et des ordres de chevalerie;Musée et écomusée;424
48.8512515937, 2.35197056881;"{""coordinates"": [2.351970568809343, 48.851251593693675, 0.0], ""type"": ""Point""}";75;ESCALE DE LA TOURNELLE;Paris;75105;Escale la tournelle Notre-Dame;Haltes, escales ou ports fluviaux de plaisance;454
48.8471950797, 2.36168235567;"{""coordinates"": [2.36168235566816, 48.84719507965814, 0.0], ""type"": ""Point""}";75;ESCALE DU JARDIN DES PLANTES;Paris;75105;Escale Saint-Bernard, jardin des Plantes;Haltes, escales ou ports fluviaux de plaisance;457
48.8408192411, 2.27089931653;"{""coordinates"": [2.270899316531227, 48.840819241093484, 0.0], ""type"": ""Point""}";75;;Paris;75115;Escale parc André Citroën aval;Haltes, escales ou ports fluviaux de plaisance;463
48.3878831949, 2.9601620386;"{""coordinates"": [2.960162038595676, 48.387883194942, 0.0], ""type"": ""Point""}";77;CHEMIN DU HALAGE DE L'YONNE;MONTEREAU-FAULT-YONNE;77305;Halte de Montereau-Fault-Yonne;Haltes, escales ou ports fluviaux de plaisance;503
48.9771497298, 2.05676884701;"{""coordinates"": [2.056768847005123, 48.97714972981501, 0.0], ""type"": ""Point""}";78;4 BOULEVARD NOËL MARC;ANDRESY;78015;Halte de plaisance d'Andrésy;Haltes, escales ou ports fluviaux de plaisance;510
48.9315748275, 2.00772510821;"{""coordinates"": [2.007725108209073, 48.93157482749521, 0.0], ""type"": ""Point""}";78;350 CHEMIN DES PÊCHEURS;VILLENNES-SUR-SEINE;78672;Jet 7 performance, plaisance;Haltes, escales ou ports fluviaux de plaisance;521
48.591347102, 2.48427747398;"{""coordinates"": [2.484277473978737, 48.591347101961084, 0.0], ""type"": ""Point""}";91;;SaintRY-SUR-SEINE;91577;Port des Bas Vignons;Haltes, escales ou ports fluviaux de plaisance;524
48.7870603116, 2.47503402282;"{""coordinates"": [2.475034022824772, 48.78706031158963, 0.0], ""type"": ""Point""}";94;PASSERELLE DE LA PIE;CRETEIL;94028;Port de plaisance;Haltes, escales ou ports fluviaux de plaisance;530
48.7076691405, 2.04382553055;"{""coordinates"": [2.043825530547575, 48.70766914047703, -100000.0], ""type"": ""Point""}";78;2 PLACE DE LUYNES;CHEVREUSE;78160;;Offices du tourisme et syndicats d'initiative;565
48.9904351542, 1.71937895647;"{""coordinates"": [1.71937895646523, 48.990435154196284, 31.528999999994994], ""type"": ""Point""}";78;1 RUE THIERS;MANTES LA JOLIE;78361;;Offices du tourisme et syndicats d'initiative;570
48.3190126265, 2.08885268526;"{""coordinates"": [2.088852685264039, 48.31901262654885, -100000.0], ""type"": ""Point""}";91;3 RUE CORPECHOT;MEREVILLE;91390;;Offices du tourisme et syndicats d'initiative;588
48.7545806043, 2.30009121842;"{""coordinates"": [2.300091218422614, 48.754580604290474, -100000.0], ""type"": ""Point""}";92;1, PLACE AUGUSTE MOUNIE;ANTONY;92002;;Offices du tourisme et syndicats d'initiative;595
48.9193460427, 2.53702916051;"{""coordinates"": [2.5370291605119, 48.91934604271487, -100000.0], ""type"": ""Point""}";93;5 PLACE FRANCOIS MITTERRAND;LIVRY GARGAN;93046;;Offices du tourisme et syndicats d'initiative;609
49.1079487593, 2.34335470288;"{""coordinates"": [2.343354702877382, 49.10794875927467, -100000.0], ""type"": ""Point""}";95;TOUR DU GUET BP 22;ST MARTIN DU TERTRE;95566;;Offices du tourisme et syndicats d'initiative;635
49.0028816269, 2.56702427108;"{""coordinates"": [2.567024271081747, 49.00288162691242, 0.0], ""type"": ""Point""}";93;AEROPORT CDG - TERMINAL 2C;TREMBLAY-EN-FRANCE;93073;;Offices du tourisme et syndicats d'initiative;637
48.8659687219, 2.32419937469;"{""coordinates"": [2.324199374691636, 48.8659687219476, -100000.0], ""type"": ""Point""}";75;place de la concorde;Paris;75101;Grande roue des Tuileries;Espace de loisirs, espace récréatif;649
48.8469209088, 2.27822588685;"{""coordinates"": [2.278225886847122, 48.8469209087786, 32.91599999999744], ""type"": ""Point""}";75;parc Andre Citroën;Paris;75115;Ballon de Paris;Espace de loisirs, espace récréatif;651
48.8534364885, 2.34411916519;"{""coordinates"": [2.344119165189477, 48.85343648847448, -100000.0], ""type"": ""Point""}";75;Boulevard Saint Michel;Paris;75106;Poussin vert;Espace de loisirs, espace récréatif;652
48.6513072783, 1.81789667549;"{""coordinates"": [1.817896675488572, 48.651307278270565, -100000.0], ""type"": ""Point""}";78;3 rue Groussay;RAMBOUILLET;78517;Office national des forêts;Espace de loisirs, espace récréatif;656
49.1467461999, 1.8048976548;"{""coordinates"": [1.804897654796218, 49.146746199947295, 0.0], ""type"": ""Point""}";95;RD 14;MAGNY-EN-VEXIN;95177;Parc Aventure Land;Espace de loisirs, espace récréatif;666
48.8090119435, 2.13044999961;"{""coordinates"": [2.130449999614692, 48.80901194346093, 0.0], ""type"": ""Point""}";78;54 BOULEVARD DE LA REINE;VERSAILLES;78646;Musée Lambinet;Musée et écomusée;672
48.8786328114, 2.28316017256;"{""coordinates"": [2.283160172557153, 48.878632811443566, 0.0], ""type"": ""Point""}";75;2, PLACE DE LA PORTE MAILLOT, 75853 PARIS CEDEX 17;PARIS;75117;Palais des congrès de Paris;Centre de congrès et parc d'exposition;8
48.4176620288, 3.23753638596;"{""coordinates"": [3.237536385963087, 48.417662028764326, 0.0], ""type"": ""Point""}";77;;BRAY-SUR-SEINE;77051;Port public de Bray;Haltes, escales ou ports fluviaux de plaisance;21
48.8095796746, 2.39001807161;"{""coordinates"": [2.390018071613248, 48.809579674609544, -100000.0], ""type"": ""Point""}";94;25 RUE RASPAIL;IVRY-SUR-SEINE;94041;Centre d’art contemporain d’ivry - le crédac;Diffusion de l'art (autre que musée);23
48.8609098712, 2.34254698342;"{""coordinates"": [2.342546983422724, 48.86090987123793, 0.0], ""type"": ""Point""}";75;52 RUE DE L'ARBRE SEC;Paris;75101;Musée de la presse;Musée et écomusée;57
48.8628118268, 2.3428436029;"{""coordinates"": [2.342843602896653, 48.86281182679554, 0.0], ""type"": ""Point""}";75;2 RUE DE VIARMES;Paris;75101;Bourse du commerce;Site et monument;63
48.8642436252, 2.34800850397;"{""coordinates"": [2.348008503972436, 48.86424362524839, 0.0], ""type"": ""Point""}";75;20 RUE ETIENNE MARCEL;Paris;75102;Tour Jean-sans-Peur;Site et monument;73
48.8582507208, 2.36237351322;"{""coordinates"": [2.362373513216356, 48.858250720806424, 0.0], ""type"": ""Point""}";75;11 RUE PAYENNE - HÔTEL DE MARLE;Paris;75103;Institut Tessin - centre culturel suédois;Musée et écomusée;75
48.8529615431, 2.34991335251;"{""coordinates"": [2.349913352509216, 48.85296154313625, 0.0], ""type"": ""Point""}";75;6 PLACE DU PARVIS ND;Paris;75104;Cathédrale ND de Paris;Site et monument;85
48.8513007701, 2.35561764556;"{""coordinates"": [2.355617645557632, 48.85130077005867, 0.0], ""type"": ""Point""}";75;6 QUAI D'ORLÉANS - BIBLIOTHÈQUE POLONAISE DE Paris;Paris;75104;Musée Adam Mickiewicz;Musée et écomusée;95
48.8405579045, 2.34190673523;"{""coordinates"": [2.341906735228504, 48.84055790449046, 0.0], ""type"": ""Point""}";75;277 BIS RUE Saint-JACQUES - 1 PLACE LAVERAN;Paris;75105;Eglise royale du Val-de-Grace;Site et monument;108
48.8495195064, 2.34837580341;"{""coordinates"": [2.348375803411161, 48.849519506358774, 0.0], ""type"": ""Point""}";75;1 BIS RUE DES CARMES;Paris;75105;Musée des collections historiques de la préfecture de police;Musée et écomusée;117
48.8421414685, 2.35622333923;"{""coordinates"": [2.356223339234761, 48.84214146854684, 0.0], ""type"": ""Point""}";75;57 RUE CUVIER - JARDIN DES PLANTES;Paris;75105;Muséum national d'histoire naturelle -  grande galerie de l'evolution;Musée et écomusée;122
48.8513652871, 2.34099615747;"{""coordinates"": [2.340996157465747, 48.851365287117126, 0.0], ""type"": ""Point""}";75;12 RUE DE L'ECOLE DE MÉDECINE - UNIVERSITÉ RENÉ DESCARTES;Paris;75106;Musée d'histoire de la médecine;Musée et écomusée;134
48.8485831711, 2.33401005218;"{""coordinates"": [2.334010052183317, 48.84858317111696, 0.0], ""type"": ""Point""}";75;19 RUE DE VAUGIRARD - JARDIN DU LUXEMBOURG;Paris;75106;Musée du Luxembourg;Musée et écomusée;135
48.8596707984, 2.30518204263;"{""coordinates"": [2.305182042631492, 48.859670798440206, 0.0], ""type"": ""Point""}";75;92 RUE Saint-DOMINIQUE;Paris;75107;Eglise Saint-Pierre du-Gros-Caillou;Site et monument;143
48.8564273285, 2.32763375675;"{""coordinates"": [2.327633756748453, 48.856427328535474, 0.0], ""type"": ""Point""}";75;PLACE Saint-THOMAS-D'AQUIN;Paris;75107;Eglise Saint-Thomas d'Aquin;Site et monument;144
48.8622495811, 2.28182973736;"{""coordinates"": [2.281829737358024, 48.862249581096, -100000.0], ""type"": ""Point""}";75;1 place du Trocadéro;Paris 16ÈME;0;Théâtre national de Chaillot;Diffusion du spectacle vivant;156
48.8382567878, 2.49397219297;"{""coordinates"": [2.493972192965003, 48.83825678781491, 56.43050000000221], ""type"": ""Point""}";94;Place du théâtre;NOGENT-SUR-MARNE;0;La scène Watteau;Diffusion du spectacle vivant;158
48.8736689226, 2.2954977352;"{""coordinates"": [2.295497735195947, 48.87366892255775, 0.0], ""type"": ""Point""}";75;PLACE CHARLES DE GAULLE;Paris;75108;Arc de triomphe;Site et monument;166
48.8352668726, 2.40938873075;"{""coordinates"": [2.409388730748067, 48.83526687264601, 0.0], ""type"": ""Point""}";75;293 AVENUE DAUMESNIL - PALAIS DE LA PORTE DORÉE;Paris;75112;Cité nationale de l'histoire de l'immigration;Musée et écomusée;193
48.8285560441, 2.41495275803;"{""coordinates"": [2.414952758025109, 48.82855604406102, 0.0], ""type"": ""Point""}";75;40 BIS ROUTE CEINTURE DU LAC DAUMESNIL;Paris;75112;Temple Bouddhique - institut international Bouddhique;Site et monument;197
48.8350145227, 2.35087292044;"{""coordinates"": [2.350872920439979, 48.83501452270638, 0.0], ""type"": ""Point""}";75;12 RUE BERBIER DU METZ;Paris;75113;Château de la Reine Blanche;Site et monument;199
48.8400498633, 2.37034865574;"{""coordinates"": [2.370348655741809, 48.84004986333074, 0.0], ""type"": ""Point""}";75;30 QUAI D'AUSTRERLITZ;Paris;75113;Docks en seine : cité de la mode et du design;Musée et écomusée;200
48.8392463991, 2.32983988488;"{""coordinates"": [2.329839884880313, 48.83924639909742, 0.0], ""type"": ""Point""}";75;3 BOULEVARD EDGAR QUINET;Paris;75114;Cimetière du Montparnasse;Site et monument;205
48.841390033, 2.31730919801;"{""coordinates"": [2.317309198009163, 48.84139003301075, 0.0], ""type"": ""Point""}";75;34 BOULEVARD DE VAUGIRARD;Paris;75115;Musée de la poste;Musée et écomusée;215
48.8894935017, 2.25218558147;"{""coordinates"": [2.252185581472694, 48.889493501667516, 0.0], ""type"": ""Point""}";75;BOIS DE BOULOGNE - PARC DE BAGATELLE;Paris;75116;Château de Bagatelle;Site et monument;219
48.8389420858, 2.25651757879;"{""coordinates"": [2.256517578790331, 48.838942085811716, 0.0], ""type"": ""Point""}";75;98 BOULEVARD MURAT - 96 BOULEVARD MURAT;Paris;75116;Eglise Sainte-Jeanne de Chantal;Site et monument;225
48.8706262934, 2.27706132569;"{""coordinates"": [2.277061325686461, 48.87062629344455, 0.0], ""type"": ""Point""}";75;16 RUE DE LA FAISANDERIE;Paris;75116;Musée de la contrefaçon;Musée et écomusée;235
48.8527210823, 2.27951608688;"{""coordinates"": [2.27951608688238, 48.852721082339094, 0.0], ""type"": ""Point""}";75;116 AVENUE DU PRÉSIDENT KENNEDY;Paris;75116;Musée de radio-France;Musée et écomusée;236
48.865065778, 2.29349832387;"{""coordinates"": [2.293498323869722, 48.865065778046706, 0.0], ""type"": ""Point""}";75;6 PLACE D'IÉNA;Paris;75116;Musée national des arts asiatiques Guimet;Musée et écomusée;240
48.8679666007, 2.29825112399;"{""coordinates"": [2.298251123992146, 48.86796660068509, 0.0], ""type"": ""Point""}";75;28 RUE DE CHAILLOT;Paris;75116;Paroisse Saint-Pierre de Chaillot;Site et monument;242
48.9268040204, 3.13116631606;"{""coordinates"": [3.131166316058329, 48.926804020421415, 0.0], ""type"": ""Point""}";77;6 RUE MONTMORIN;JOUARRE;77238;Abbaye de Jouarre - tour romane;Site et monument;272
48.6838121455, 1.93584557298;"{""coordinates"": [1.935845572984694, 48.68381214551593, 0.0], ""type"": ""Point""}";78;DOMAINE DES VAUX-DE-CERNAY;CERNAY-LA-VILLE;78128;Abbaye des Vaux de Cernay;Site et monument;288
48.7761514935, 1.80538405071;"{""coordinates"": [1.805384050714105, 48.776151493508635, 0.0], ""type"": ""Point""}";78;5 RUE MAURICE RAVEL;MONTFORT-L'AMAURY;78420;Maison-musée Maurice Ravel;Musée et écomusée;298
48.8043776128, 2.12191428655;"{""coordinates"": [2.121914286549673, 48.8043776127933, 0.0], ""type"": ""Point""}";78;AVENUE ROCKEFELLER;VERSAILLES;78646;Domaine de Versailles;Site et monument;311
48.5297011234, 2.01121429008;"{""coordinates"": [2.011214290080026, 48.529701123436304, 0.0], ""type"": ""Point""}";91;PLACE DU GÉNÉRAL DE GAULLE;DOURDAN;91200;Château de Dourdan;Site et monument;322
48.3990861531, 2.47460633799;"{""coordinates"": [2.474606337990945, 48.3990861530816, 0.0], ""type"": ""Point""}";91;RUE JEAN MOULIN;MILLY-LA-FORET;91405;Chapelle Saint-Blaise-des-Simples;Site et monument;326
48.9107485422, 2.29844099942;"{""coordinates"": [2.298440999420829, 48.91074854217707, 0.0], ""type"": ""Point""}";92;4 PONT DE CLICHY;ASNIERES-SUR-SEINE;92004;Cimetière des chiens;Site et monument;331
48.8985916976, 2.27434664194;"{""coordinates"": [2.274346641937925, 48.8985916976407, 0.0], ""type"": ""Point""}";92;22 ALLÉE CLAUDE MONET - ILE DE LA JATTE;LEVALLOIS-PERRET;92044;Maison de la pêche et de la nature;Musée et écomusée;337
48.8709643386, 2.16021312682;"{""coordinates"": [2.160213126815854, 48.870964338626244, 0.0], ""type"": ""Point""}";92;229 BIS AVENUE NAPOLÉON BONAPARTE;RUEIL-MALMAISON;92063;Château de la Petite Malmaison;Site et monument;342
49.1229952714, 1.70579323674;"{""coordinates"": [1.705793236740353, 49.12299527139603, 0.0], ""type"": ""Point""}";95;DOMAINE DE VILLARCEAUX;CHAUSSY;95150;Domaine de Villarceaux;Site et monument;365
49.1087711263, 1.84987383616;"{""coordinates"": [1.84987383616314, 49.10877112631568, 0.0], ""type"": ""Point""}";95;PLACE DU Château;GUIRY EN VEXIN;95295;Musée Archéologique du Val d'Oise;Musée et écomusée;367
49.065576858, 2.06263766558;"{""coordinates"": [2.062637665583661, 49.06557685798861, 0.0], ""type"": ""Point""}";95;RUE WILLIAM THORNLEY - Château DE GROUCHY;OSNY;95476;Musée départemental des sapeurs pompiers du Val d'Oise;Musée et écomusée;368
49.0507372302, 2.09664642452;"{""coordinates"": [2.096646424520387, 49.050737230224144, 0.0], ""type"": ""Point""}";95;PLACE DU PETIT MARTROY;PONTOISE;95500;Cathédrale Saint-Maclou;Site et monument;369
49.0584477246, 1.94869310617;"{""coordinates"": [1.948693106170456, 49.058447724624415, 0.0], ""type"": ""Point""}";95;HAMEAU DU PETIT-MESNIL;SAGY;95535;Musée de la moisson - ecomusée du parc naturel régional du vexin fr;Musée et écomusée;372
48.8339531627, 2.40317342962;"{""coordinates"": [2.403173429622948, 48.83395316274292, 0.0], ""type"": ""Point""}";75;53, AVENUE DE Saint-MAURICE;Paris;75112;Zoo de Vincennes;Espace de loisirs, espace récréatif;383
48.8439800776, 2.21940877433;"{""coordinates"": [2.219408774330518, 48.84398007762268, 0.0], ""type"": ""Point""}";92;PARC DE Saint-CLOUD;Saint-CLOUD;92064;Domaine national de Saint-Cloud;Site et monument;387
48.1872727341, 2.74501622701;"{""coordinates"": [2.74501622700744, 48.18727273405096, 0.0], ""type"": ""Point""}";77;22 RUE HOCHE;SOUPPES-SUR-LOING;77458;Parc animalier de l'Emprunt;Espace de loisirs, espace récréatif;395
48.8726040396, 2.77678043755;"{""coordinates"": [2.776780437547486, 48.87260403957482, 0.0], ""type"": ""Point""}";77;;SERRIS;77111;Disneyland Paris;Espace de loisirs, espace récréatif;396
48.9101126559, 2.29835048413;"{""coordinates"": [2.298350484130789, 48.910112655926994, 0.0], ""type"": ""Point""}";92;;ASNIÈRES SUR SEINE;92004;Escale d'Asnières - parc Robinson;Haltes, escales ou ports fluviaux de plaisance;432
48.86116125, 2.29294931864;"{""coordinates"": [2.292949318639055, 48.86116124996734, 0.0], ""type"": ""Point""}";75;;Paris;75116;Escale Debilly - Trocadéro;Haltes, escales ou ports fluviaux de plaisance;462
48.9048747514, 2.29194609043;"{""coordinates"": [2.291946090433783, 48.904874751378095, 0.0], ""type"": ""Point""}";92;;CLICHY SUR SEINE;92024;Escale de Clichy;Haltes, escales ou ports fluviaux de plaisance;465
48.9555702887, 3.02315081171;"{""coordinates"": [3.023150811706385, 48.955570288748824, 0.0], ""type"": ""Point""}";77;YACHT CLUB DE LA BRIE;CHANGIS-SUR-MARNE;77084;Port du yacht club de la rie;Haltes, escales ou ports fluviaux de plaisance;480
48.8795015747, 2.36796314549;"{""coordinates"": [2.367963145489784, 48.87950157469459, 0.0], ""type"": ""Point""}";75;QUAI DE JEMMAPES;Paris;75110;Escale du bassin Louis Blanc;Haltes, escales ou ports fluviaux de plaisance;487
48.1529673667, 2.7450937761;"{""coordinates"": [2.745093776098785, 48.15296736665951, 0.0], ""type"": ""Point""}";77;HAMEAU DE NÉRONVILLE;CHATEAU-LANDON;77099;Halte de plaisance de Château-Landon;Haltes, escales ou ports fluviaux de plaisance;494
49.0308016318, 2.06068411338;"{""coordinates"": [2.060684113379383, 49.03080163183023, 0.0], ""type"": ""Point""}";95;6 QUAI DE LA TOURELLE;CERGY;95127;Port de Cergy;Haltes, escales ou ports fluviaux de plaisance;534
48.8758515434, 2.58362994252;"{""coordinates"": [2.583629942517543, 48.87585154342091, -100000.0], ""type"": ""Point""}";77;51 BIS AVENUE DE LA RESISTANCE;CHELLES;77108;;Offices du tourisme et syndicats d'initiative;545
48.1768141048, 2.87191970449;"{""coordinates"": [2.871919704488433, 48.176814104760524, -100000.0], ""type"": ""Point""}";77;1 RUE Saint MARTIN;EGREVILLE;77168;;Offices du tourisme et syndicats d'initiative;548
